village_lgd,census_code,village_name,status,match_score,candidate_osm_id,candidate_names
527827,527827,Shirasgaon,matched,100.0,9870870158,Shirasgaon
527828,527828,Talonde Pr. Dehere,matched,100.0,9870870160,Talonde Pr. Dehere
527829,527829,Nandre,place_assigned_to_multiple_villages,100.0,5569122009,Nandre
527830,527830,Kakadane,matched,100.0,9870870161,Kakadane
527831,527831,Naiknager,below_threshold,88.88888888888889,9868995134,Naiknagar
527832,527832,Malshevage,matched,100.0,9870870155,Malshevage
527833,527833,Pimpalwad Nikumbh,matched,100.0,9870870153,Pimpalwad Nikumbh
527834,527834,Tamgavhan,matched,100.0,9870870152,Tamgavhan
527835,527835,Hatgaon,matched,100.0,9870870150,Hatgaon
527836,527836,Andhari,ambiguous_candidates,100.0,9870870151,Andhari
527837,527837,Talegaon,ambiguous_candidates,100.0,2825694921,Talegaon
527838,527838,Hirapur,ambiguous_candidates,100.0,9863574962,Hirapur
527839,527839,Pimpri Bk. Pr.chalisgoan,matched,95.65217391304348,9870870138,Pimpri Bk Pr. Chalisgaon
527840,527840,Chitegaon,matched,100.0,9870870139,Chitegaon
527841,527841,Ganpur,ambiguous_candidates,100.0,1194999054,Ganpur
527842,527842,Pimparkhede,ambiguous_candidates,100.0,9870537414,Pimparkhede
527843,527843,Gorakhpur,below_threshold,70.58823529411764,9870870190,Rahipuri
527844,527844,Shivapur,matched,100.0,9870864382,Shivapur
527845,527845,Varthan,matched,100.0,9870870125,Varthan
527846,527846,Ganeshpur,ambiguous_candidates,100.0,9870870137,Ganeshpur
527847,527847,Chatrubhuj,below_threshold,58.82352941176471,9840670971,Chautha
527848,527848,Shindi,ambiguous_candidates,100.0,9864537367,Shindi
527849,527849,Krushnanagar,below_threshold,72.72727272727273,9870897029,Konganagar
527850,527850,Karajgaon,ambiguous_candidates,100.0,9870870135,Karajgaon
527851,527851,Rohini,matched,100.0,9870870149,Rohini
527852,527852,Pimpalgaon,ambiguous_candidates,100.0,2857467943,Pimpalgaon
527853,527853,Ghodegaon,ambiguous_candidates,100.0,9870870134,Ghodegaon
527854,527854,Kharadi,ambiguous_candidates,93.33333333333333,9833586413,Kharbadi
527855,527855,Vishnunagar,below_threshold,72.72727272727273,9868565967,Vasantnagar
527856,527856,Odhare,ambiguous_candidates,100.0,9870870127,Odhare
527857,527857,Patana,matched,100.0,9870870126,Patana
527858,527858,Chandikawadi,below_threshold,76.19047619047619,9861085976,Andalwadi
527859,527859,Rajdehare,matched,100.0,9870870132,Rajdehare
527860,527860,Rajdehare Sett.,matched,100.0,9870870131,Rajdehare Sett.
527861,527861,Junpani Sett,matched,100.0,9870870129,Junpani Sett
527862,527862,Gujardari,below_threshold,75.0,3230458257,Jamdari
527864,527864,Dahigaon,ambiguous_candidates,100.0,9833606743,Dahigaon
527865,527865,Dhokalkhede,matched,100.0,9868915715,Dhokalkhede
527866,527866,Varasade Pr.Bornar,matched,100.0,9868915716,Varasade Pr. Bornar
527867,527867,Samner,matched,100.0,9868915713,Samner
527868,527868,Mahiji,matched,100.0,9868915717,Mahiji
527869,527869,Kurangi,matched,100.0,9868915718,Kurangi
527870,527870,Lasgaon,matched,100.0,9868915712,Lasgaon
527871,527871,Bambarud Pr. Bordar,below_threshold,76.47058823529412,9870537262,Bambrud Pr. Bahal
527872,527872,Asankhede Bk.,matched,100.0,9868915710,Asankhede Bk
527873,527873,Asankhede Kh.,ambiguous_candidates,95.65217391304348,9868915711,Asankhed Kh
527874,527874,Nandre,place_assigned_to_multiple_villages,100.0,5569122009,Nandre
527875,527875,Hadsan,matched,100.0,9868915721,Hadsan
527876,527876,Pahan,matched,100.0,9868915720,Pahan
527877,527877,Mohadi,ambiguous_candidates,100.0,9863574960,Mohadi
527878,527878,Vadgaon Tek,matched,100.0,9868915584,Vadgaon Tek
527879,527879,Vadgaon Aseri,below_threshold,80.0,9868905214,Vadgaon Ambe
527880,527880,Vadgaon Bk.Pr.Pachora,ambiguous_candidates,100.0,9868915583,Vadgaon Bk Pr. Pachora
527881,527881,Mandaki,place_assigned_to_multiple_villages,92.3076923076923,9870516885,Mandki
527882,527882,Pungaon,ambiguous_candidates,100.0,3184869110,Pungaon
527883,527883,Veruli Kh.,matched,100.0,9868915663,Veruli Kh
527884,527884,Veruli Bk.,matched,100.0,9868915664,Veruli Bk
527885,527885,Khedgaon,ambiguous_candidates,100.0,9868915665,Khedgaon
527886,527886,Goradkhede Bk.,ambiguous_candidates,100.0,9868915582,Goradkhede Bk
527887,527887,Goradkhede Kh.,ambiguous_candidates,100.0,9868915581,Goradkhede Kh
527888,527888,Arve,matched,100.0,9868915528,Arve
527889,527889,Bildi Bk.,matched,100.0,9868995135,Bildi Bk
